date;last_update;confirmed;confirmed_diff;deaths;deaths_diff;recovered;recovered_diff;active;active_diff;fatality_rate
2020-02-01;2020-02-01 19:53:00;12038;2106;259;46;284;62;11495;1998;0.0215
2020-02-02;2020-02-02 23:53:02;16787;4749;362;103;472;188;15953;4458;0.0216
2020-02-03;2020-02-03 23:43:02;19881;3092;426;64;623;151;18832;2877;0.0214
2020-02-04;2020-02-04 23:43:01;23892;4010;492;66;852;229;22548;3715;0.0206
2020-02-05;2020-02-05 23:43:02;27636;3743;564;72;1124;272;25948;3399;0.0204
2020-02-06;2020-02-06 23:43:01;30818;3182;634;70;1487;363;28697;2749;0.0206
2020-02-07;2020-02-07 23:43:02;34392;3513;719;85;2011;524;31662;2904;0.0209
2020-02-08;2020-02-08 23:53:02;37121;2729;806;87;2616;605;33699;2037;0.0217
2020-02-09;2020-02-09 23:53:02;40151;3027;906;100;3244;628;36001;2299;0.0226
2020-02-10;2020-02-10 23:43:02;42763;2612;1013;107;3946;702;37804;1803;0.0237
2020-02-11;2020-02-11 23:53:02;44803;2039;1113;100;4683;737;39007;1202;0.0248
2020-02-12;2020-02-12 23:23:01;45222;419;1118;5;5150;467;38954;-53;0.0247
2020-02-13;2020-02-13 23:43:02;60370;15147;1371;253;6295;1145;52704;13749;0.0227
2020-02-14;2020-02-14 23:53:02;66887;6516;1523;152;8058;1763;57306;4601;0.0228
2020-02-15;2020-02-15 23:53:02;69032;2145;1666;143;9395;1337;57971;665;0.0241
2020-02-16;2020-02-16 23:53:01;71226;2194;1770;104;10865;1470;58591;620;0.0249
2020-02-17;2020-02-17 23:53:02;73260;2034;1868;98;12583;1718;58809;218;0.0255
2020-02-18;2020-02-18 23:53:01;75138;1878;2007;139;14352;1769;58779;-30;0.0267
2020-02-19;2020-02-19 23:53:02;75641;501;2122;113;16121;1769;57398;-1381;0.0281
2020-02-20;2020-02-20 23:43:02;76199;558;2247;125;18177;2056;55775;-1623;0.0295
2020-02-21;2020-02-21 23:33:06;76843;618;2251;4;18890;713;55702;-99;0.0293
2020-02-22;2020-02-22 23:53:01;78599;1756;2458;207;22886;3996;53255;-2447;0.0313
2020-02-23;2020-02-23 23:43:02;78985;386;2469;11;23394;508;53122;-133;0.0313
2020-02-24;2020-02-24 23:43:01;79570;543;2629;160;25227;1833;51714;-1450;0.033
2020-02-25;2020-02-25 23:53:02;80415;840;2708;79;27905;2678;49802;-1917;0.0337
2020-02-26;2020-02-26 23:53:02;81397;974;2770;62;30384;2479;48243;-1567;0.034
2020-02-27;2020-02-27 23:33:02;82756;1355;2814;44;33277;2893;46665;-1582;0.034
2020-02-28;2020-02-28 23:23:03;84123;1360;2872;58;36711;3434;44540;-2132;0.0341
2020-02-29;2020-02-29 23:53:02;86013;1883;2941;69;39782;3071;43290;-1257;0.0342
2020-03-01;2020-03-01 23:43:03;88371;2345;2996;55;42716;2934;42659;-644;0.0339
2020-03-02;2020-03-02 23:53:02;90309;1914;3085;85;45602;2886;41622;-1057;0.0342
2020-03-03;2020-03-03 23:53:03;92844;2524;3160;75;48229;2627;41455;-178;0.034
2020-03-04;2020-03-04 23:23:01;95124;2266;3254;94;51171;2942;40699;-770;0.0342
2020-03-05;2020-03-05 23:53:02;97886;2741;3348;94;53797;2626;40741;21;0.0342
2020-03-06;2020-03-06 23:33:02;101800;3867;3460;112;55866;2069;42474;1686;0.034
2020-03-07;2020-03-07 23:53:03;105836;3962;3558;98;58359;2494;43919;1370;0.0336
2020-03-08;2020-03-08 23:23:03;109816;3934;3803;245;60695;2336;45318;1353;0.0346
2020-03-09;2020-03-09 23:33:02;113580;3770;3996;193;62512;1821;47072;1756;0.0352
2020-03-10;2020-03-10 23:53:02;118582;5065;4262;285;64404;1898;49916;2882;0.0359
2020-03-11;2020-03-11 23:53:03;125865;6520;4615;335;67003;2314;54247;3871;0.0367
2020-03-12;2020-03-12 23:44:33;128343;2474;4720;104;68324;1321;55299;1049;0.0368
2020-03-13;2020-03-13 23:13:12;145193;16478;5404;683;70251;1927;69538;13868;0.0372
2020-03-14;2020-03-14 23:53:02;156099;10873;5819;415;72624;2373;77656;8085;0.0373
2020-03-15;2020-03-15 18:33:03;167447;11338;6440;621;76034;3410;84973;7307;0.0385
2020-03-16;2020-03-16 23:53:03;181545;13792;7126;681;78088;2054;96331;11057;0.0393
2020-03-17;2020-03-17 23:53:03;197168;15609;7905;779;80840;2752;108423;12078;0.0401
2020-03-18;2020-03-18 19:53:03;214915;17732;8733;828;83313;2367;122869;14537;0.0406
2020-03-19;2020-03-19 23:43:04;242713;27788;9867;1134;84962;1649;147884;25005;0.0407
2020-03-20;2020-03-20 23:43:03;272167;29449;11299;1432;87403;2441;173465;25576;0.0415
2020-03-21;2020-03-21 23:43:02;304527;32356;12973;1674;91676;4273;199878;26409;0.0426
2020-03-22;2020-03-22 23:48:00;337122;53405;14623;2534;97243;5791;225256;45080;0.0434
2020-03-23;2020-03-23 23:23:20;378283;57183;16497;2548;100958;5915;260828;48720;0.0436
2020-03-24;2020-03-24 23:41:50;417962;24370;18615;1452;107699;4650;291648;18268;0.0445
2020-03-25;2020-03-25 23:37:49;467594;48914;21181;2556;113764;5478;332649;40880;0.0453
2020-03-26;2020-03-26 23:53:24;529591;61991;23970;2789;122144;8380;383477;50822;0.0453
2020-03-27;2020-03-27 23:27:48;593291;63692;27198;3228;130909;8765;435184;51699;0.0458
2020-03-28;2020-03-28 23:11:00;660693;67392;30652;3454;139409;8500;490632;55438;0.0464
2020-03-29;2020-03-29 23:14:00;720140;59447;33925;3273;149076;9667;537139;46507;0.0471
2020-03-30;2020-03-30 22:58:00;782389;62246;37582;3657;164560;15484;580247;43105;0.048
2020-03-31;2020-03-31 23:49:27;857487;75095;42107;4525;178028;13468;637352;57102;0.0491
2020-04-01;2020-04-01 22:04:58;932605;75118;46809;4702;193171;15143;692625;55273;0.0502
2020-04-02;2020-04-02 23:32:00;1013303;80693;52983;6174;210263;17092;750057;57427;0.0523
2020-04-03;2020-04-03 22:52:45;1095917;82614;58787;5804;225796;15533;811334;61277;0.0536
2020-04-04;2020-04-04 23:41:00;1197408;101490;64606;5819;246152;20356;886650;75315;0.054
2020-04-05;2020-04-05 23:13:44;1272115;74701;69374;4768;260012;13860;942729;56073;0.0545
2020-04-06;2020-04-06 23:28:00;1345101;72982;74565;5191;276515;16503;994021;51288;0.0554
2020-04-07;2020-04-07 23:11:31;1426096;80995;81865;7300;300054;23539;1044177;50156;0.0574
2020-04-08;2020-04-08 22:59:00;1511104;85008;88338;6473;328661;28607;1094105;49928;0.0585
2020-04-09;2020-04-09 23:09:19;1595350;84246;95455;7117;353975;25314;1145920;51815;0.0598
2020-04-10;2020-04-10 23:01:43;1691719;96368;102525;7070;376096;22121;1213098;67177;0.0606
2020-04-11;2020-04-11 22:52:46;1771514;79795;108502;5977;402110;26014;1260902;47804;0.0612
2020-04-12;2020-04-12 23:25:00;1846680;75166;114089;5588;421722;19612;1310869;49966;0.0618
2020-04-13;2020-04-13 23:15:42;1917320;70640;119482;5393;448655;26933;1349183;38314;0.0623
2020-04-14;2020-04-14 23:41:11;1976192;58872;125984;6502;474261;25606;1375947;26764;0.0638
2020-04-15;2020-04-15 23:04:26;2056055;79863;134177;8193;511019;36758;1410859;34912;0.0653
2020-04-16;2020-04-16 23:38:19;2152647;96592;143801;9624;542107;31088;1466739;55880;0.0668
2020-04-17;2020-04-17 23:38:48;2240191;87544;153822;10021;568343;26236;1518026;51287;0.0687
2020-04-18;2020-04-18 22:40:18;2317759;77568;159510;5688;592319;23976;1565930;47904;0.0688
2020-04-19;2020-04-19 23:49:05;2401379;83620;165044;5534;623903;31584;1612432;46502;0.0687
2020-04-20;2020-04-20 23:44:50;2472259;70880;169986;4942;645738;21835;1656535;44103;0.0688
2020-04-21;2020-04-21 23:39:09;2561044;77035;176984;6597;679819;34081;1704241;36357;0.0691
2020-04-22;2020-04-22 23:38:57;2623415;74134;183027;6444;709694;29875;1730694;37815;0.0698
2020-04-23;2020-04-24 03:31:35;2708885;85470;190858;7830;738486;28792;1779541;48848;0.0705
2020-04-24;2020-04-25 06:31:19;2811193;103135;197159;6317;793601;55115;1820433;41703;0.0701
2020-04-25;2020-04-26 02:31:18;2896746;85553;202846;5687;816685;23084;1877215;56782;0.07
2020-04-26;2020-04-27 02:31:20;2971475;74729;206544;3698;865733;49048;1899198;21983;0.0695
2020-04-27;2020-04-28 02:31:20;3041764;69449;211167;4607;893967;28234;1936630;36608;0.0694
2020-04-28;2020-04-29 02:32:29;3116398;74634;217153;5986;928658;34691;1970587;33957;0.0697
2020-04-29;2020-04-30 02:32:27;3193886;77488;227638;10485;972719;44061;1993529;22942;0.0713
2020-04-30;2020-05-01 02:32:28;3256846;62944;233388;5750;1014753;42034;2008705;15160;0.0717
2020-05-01;2020-05-02 02:32:27;3343777;86931;238650;5262;1053327;38574;2051800;43095;0.0714
2020-05-02;2020-05-03 02:32:28;3427343;83566;243808;5158;1093112;39785;2090423;38623;0.0711
2020-05-03;2020-05-04 02:32:28;3506729;79386;247470;3662;1125236;32124;2134023;43600;0.0706
2020-05-04;2020-05-05 02:32:34;3583055;76326;251537;4067;1162724;37488;2168794;34771;0.0702
2020-05-05;2020-05-06 02:32:31;3662691;79636;257239;5702;1198832;36108;2206620;37826;0.0702
2020-05-06;2020-05-07 02:32:28;3755341;92650;263831;6592;1245413;46581;2246097;39477;0.0703
2020-05-07;2020-05-08 02:32:32;3845718;90377;269567;5736;1284741;39328;2291410;45313;0.0701
2020-05-08;2020-05-09 02:32:35;3938064;92346;274898;5331;1322050;37309;2341116;49706;0.0698
2020-05-09;2020-05-10 02:32:30;4024009;85945;279311;4413;1375624;53574;2369074;27958;0.0694
2020-05-10;2020-05-11 02:32:30;4101699;77690;282709;3398;1408980;33356;2410010;40936;0.0689
2020-05-11;2020-05-12 03:32:27;4177504;75805;286330;3621;1456209;47229;2434965;24955;0.0685
2020-05-12;2020-05-13 03:32:26;4261955;84451;291964;5634;1493414;37205;2476577;41612;0.0685
2020-05-13;2020-05-14 03:32:28;4347018;85062;297197;5233;1548547;55133;2501274;24696;0.0684
2020-05-14;2020-05-15 02:33:02;4442163;92924;302418;4719;1587893;67625;2551852;20580;0.0681
2020-05-15;2020-05-16 02:32:19;4542347;100184;307666;5248;1637067;49174;2597614;45762;0.0677
2020-05-16;2020-05-17 02:32:32;4634068;91721;311781;4115;1693197;56130;2629090;31476;0.0673
2020-05-17;2020-05-18 02:32:21;4713620;79552;315185;3404;1733963;40766;2664472;35382;0.0669
2020-05-18;2020-05-19 02:32:18;4801943;88323;318481;3296;1786875;52912;2696587;32115;0.0663
2020-05-19;2020-05-20 02:32:19;4897492;95549;323285;4804;1688619;-98256;2885588;189001;0.066
2020-05-20;2020-05-21 02:32:48;4996472;73000;328115;3495;1897466;46491;2770891;23014;0.0657
2020-05-21;2020-05-22 02:36:51;5102424;105952;332924;4809;1948739;51273;2820761;49870;0.0652
2020-05-22;2020-05-23 02:32:42;5210817;108393;338160;5236;2056643;107904;2816014;-4747;0.0649
2020-05-23;2020-05-24 02:32:43;5310362;99545;342097;3937;2112185;55542;2856080;40066;0.0644
2020-05-24;2020-05-25 02:32:44;5407613;97251;345059;2962;2168563;56378;2893991;37911;0.0638
2020-05-25;2020-05-26 02:32:35;5495061;87448;346232;1173;2231738;63175;2917091;23100;0.063
2020-05-26;2020-05-27 02:32:31;5589626;94565;350453;4221;2286956;55218;2952217;35126;0.0627
2020-05-27;2020-05-28 02:32:31;5691790;102164;355629;5176;2350088;63132;2986073;33856;0.0625
2020-05-28;2020-05-29 02:32:50;5808946;111298;360308;4510;2415960;62455;3032678;44333;0.062
2020-05-29;2020-05-30 02:32:48;5924275;115323;364867;4559;2493535;77575;3065873;33189;0.0616
2020-05-30;2020-05-31 02:32:45;6059017;134741;369126;4259;2564693;71158;3125198;59324;0.0609
2020-05-31;2020-06-01 02:32:46;6166946;107929;372035;2909;2641329;76636;3153582;28384;0.0603
2020-06-01;2020-06-02 02:33:08;6266192;88784;375559;3352;2696009;50534;3194624;34898;0.0599
2020-06-02;2020-06-03 02:33:13;6378238;112047;380250;4692;2729527;33518;3268461;73837;0.0596
2020-06-03;2020-06-04 02:33:14;6430705;52466;385947;5696;2804982;75455;3239776;-28685;0.06
2020-06-04;2020-06-05 02:33:06;6632985;202280;391136;5189;2869963;64981;3371886;132110;0.059
2020-06-05;2020-06-06 02:33:00;6734088;100047;394875;3662;2746192;131192;3593021;-34807;0.0586
2020-06-06;2020-06-07 03:53:30;6891213;157125;399718;4843;3085833;84678;3405662;67604;0.058
2020-06-07;2020-06-08 03:33:22;7009065;117852;402730;3012;3140920;55087;3465415;59753;0.0575
2020-06-08;2020-06-09 03:33:03;7118471;109405;406522;3792;3293408;436440;3418541;-330827;0.0571
2020-06-09;2020-06-10 04:07:00;7242235;123764;609434;202912;3375668;82260;3257133;-161408;0.0841
2020-06-10;2020-06-11 03:33:41;7360239;117567;416201;-193228;3454807;78603;3489231;232192;0.0565
2020-06-11;2020-06-12 05:09:52;7514481;152968;421458;5106;3540696;85889;3552327;61973;0.0561
2020-06-12;2020-06-13 03:33:14;7632802;118321;425394;3936;3613277;72581;3594131;41804;0.0557
2020-06-13;2020-06-14 03:33:15;7766952;134150;429736;4342;3698304;85027;3638912;44781;0.0553
2020-06-14;2020-06-15 03:33:14;7900924;133972;433066;3330;3769712;71408;3698146;59234;0.0548
2020-06-15;2020-06-16 04:33:09;8034504;133580;436899;3833;3857339;87627;3740266;42120;0.0544
2020-06-16;2020-06-17 04:33:21;8173940;139436;443685;6786;3955169;97830;3775086;34820;0.0543
2020-06-17;2020-06-18 04:33:18;8349950;176010;448959;5274;4073955;118786;3827036;51950;0.0538
2020-06-18;2020-06-19 04:33:17;8488977;139027;453987;5028;4155099;81144;3879891;52855;0.0535
2020-06-19;2020-06-20 04:33:19;8663136;174159;460011;6024;4245777;90678;3957348;77457;0.0531
2020-06-20;2020-06-21 04:33:19;8791804;128668;464465;4454;4378255;132478;3949084;-8264;0.0528
2020-06-21;2020-06-22 04:33:20;8954125;162321;468357;3892;4447086;68831;4038682;89598;0.0523
2020-06-22;2020-06-23 04:33:22;9098641;144516;472171;3814;4526333;79247;4100137;61455;0.0519
2020-06-23;2020-06-24 04:33:28;9263466;164825;477584;5413;4630391;104058;4155491;55354;0.0516
2020-06-24;2020-06-25 05:26:54;9430384;166918;482752;5168;4746118;115727;4201514;46023;0.0512
2020-06-25;2020-06-26 04:33:43;9609829;179445;489312;6560;4838921;92803;4281596;80082;0.0509
2020-06-26;2020-06-27 04:33:35;9773855;191399;493477;4861;4945557;106636;4334821;79902;0.0505
2020-06-27;2020-06-28 04:34:04;9979535;178307;498710;4537;5051864;106307;4428961;67463;0.05
2020-06-28;2020-06-29 04:33:44;10145791;166256;501893;3183;5140899;89035;4502999;74038;0.0495
2020-06-29;2020-06-30 04:33:48;10302052;156261;505505;3612;5235813;94914;4560734;57735;0.0491
2020-06-30;2020-07-01 04:33:52;10475838;173786;511253;5748;5353272;117459;4611313;50579;0.0488
2020-07-01;2020-07-02 04:33:46;10694060;218222;516210;4957;5588944;235672;4588906;-22407;0.0483
2020-07-02;2020-07-03 04:33:54;10869739;175679;521298;5088;5754006;165062;4594435;5529;0.048
2020-07-03;2020-07-04 04:33:51;11074878;205139;525121;3823;5863847;109841;4685910;91475;0.0474
2020-07-04;2020-07-05 04:33:46;11267309;192431;530754;5633;6059565;195718;4676990;-8920;0.0471
2020-07-05;2020-07-06 04:33:57;11449707;182398;534267;3513;6179006;119441;4736434;59444;0.0467
2020-07-06;2020-07-07 04:34:00;11620096;170389;538058;3791;6302626;123620;4779412;42978;0.0463
2020-07-07;2020-07-08 05:33:48;11829602;209506;544163;6105;6447656;145030;4837783;58371;0.046
2020-07-08;2020-07-09 04:34:23;12041480;211878;549468;5305;6586726;139070;4905286;67503;0.0456
2020-07-09;2020-07-10 04:34:24;12268518;227038;554924;5456;6740124;153398;4973470;68184;0.0452
2020-07-10;2020-07-11 04:34:26;12498467;229949;560209;5285;6879521;139397;5058737;85267;0.0448
2020-07-11;2020-07-12 04:34:30;12717908;219441;565138;4929;7005299;125778;5147471;88734;0.0444
2020-07-12;2020-07-13 04:43:04;12910357;192449;569128;3990;7116957;111658;5224272;76801;0.0441
2020-07-13;2020-07-14 04:34:46;13103290;192933;573042;3914;7257369;140412;5272879;48607;0.0437
2020-07-14;2020-07-15 04:34:39;13323530;220240;578628;5586;7399310;141941;5345592;72713;0.0434
2020-07-15;2020-07-16 04:44:59;13554477;230947;584124;5496;7559252;159942;5411101;65509;0.0431
2020-07-16;2020-07-17 04:34:50;13805296;250819;589911;5787;7711525;152273;5503860;92759;0.0427
